New frame
Conqueror: 4 16
Conqueror: 7 17
Conqueror: 4 17
Conqueror: 3 18
Conqueror: 4 18
Conqueror: 0 26
Conqueror: 0 60
Conqueror: 0 21
Conqueror: 0 30
Conqueror: 6 30
Conqueror: 0 37
Conqueror: 28 37
Conqueror: 26 54
Conqueror: 35 36
Conqueror: 26 36
Conqueror: 37 38
Conqueror: 40 100
Conqueror: 50 64
Conqueror: 40 64
Conqueror: 37 94
Conqueror: 13 44
Conqueror: 18 68
Conqueror: 35 55
Conqueror: 56 50
Conqueror: 37 50
Conqueror: 12 54
Conqueror: 6 43
Conqueror: 6 25
Conqueror: 20 32
Conqueror: 8 32
Conqueror: 7 60
Conqueror: 8 23
Conqueror: 4 26
Conqueror: 13 18
Conqueror: 7 37
Conqueror: 35 37
Conqueror: 4 30
Conqueror: 12 30
Conqueror: 8 18
Conqueror: 10 18
Conqueror: 13 17
Conqueror: 11 17
Conqueror: 11 16
Conqueror: 7 21
Conqueror: 38 36
Conqueror: 28 36
Conqueror: 28 54
Conqueror: 41 38
Conqueror: 46 100
Conqueror: 55 64
Conqueror: 46 64
Conqueror: 44 94
Conqueror: 17 44
Conqueror: 24 68
Conqueror: 18 54
Conqueror: 9 43
Conqueror: 14 60
Conqueror: 9 25
Conqueror: 24 32
Conqueror: 13 32
Conqueror: 8 26
Conqueror: 13 23
Conqueror: 8 30
Conqueror: 18 30
Conqueror: 14 37
Conqueror: 42 37
Conqueror: 19 18
Conqueror: 6 81
Conqueror: 13 18
Conqueror: 16 18
Conqueror: 6 55
Conqueror: 18 17
Conqueror: 14 21
Conqueror: 30 54
Conqueror: 52 100
Conqueror: 60 64
Conqueror: 52 64
Conqueror: 51 94
Conqueror: 30 68
Conqueror: 24 54
Conqueror: 12 43
Conqueror: 21 60
Conqueror: 12 25
Conqueror: 28 32
Conqueror: 18 32
Conqueror: 3 66
Conqueror: 12 26
Conqueror: 13 81
Conqueror: 12 30
Conqueror: 24 30
Conqueror: 18 23
Conqueror: 21 44
Conqueror: 3 44
Conqueror: 2 65
Conqueror: 21 21
Conqueror: 5 65
Conqueror: 5 45
Conqueror: 1 21
Conqueror: 18 18
Conqueror: 22 18
Conqueror: 1 18
Conqueror: 1 18
Conqueror: 1 20
Conqueror: 1 20
Conqueror: 0 55
Conqueror: 13 55
Conqueror: 0 16
Conqueror: 32 54
Conqueror: 58 100
Conqueror: 65 64
Conqueror: 58 64
Conqueror: 36 68
Conqueror: 58 94
Conqueror: 30 54
Conqueror: 15 43
Conqueror: 5 66
Conqueror: 28 60
Conqueror: 4 65
Conqueror: 15 25
Conqueror: 20 81
Conqueror: 25 44
Conqueror: 5 44
Conqueror: 16 26
Conqueror: 16 30
Conqueror: 30 30
Conqueror: 22 21
Conqueror: 13 65
Conqueror: 6 21
Conqueror: 7 55
Conqueror: 20 55
Conqueror: 7 18
Conqueror: 6 20
Conqueror: 7 20
Conqueror: 0 23
Conqueror: 32 32
Conqueror: 0 32
Conqueror: 7 16
Conqueror: 0 0
Conqueror: 13 45
Conqueror: 64 100
